1103,NCCCNCCCCNCCCN
1346,COc1ccccc1N1CCNCC1
1348,Clc1cccc(Nc2nnc(-c3ccccc3)c3ccccc23)c1
1355,Clc1cccc(N2CCNCC2)c1
1366,NC1(C(=O)O)CCCCC1
1370,O=C(c1ccc2c(c1)OCO2)N1CCCCC1
1449,C#CCCCCCCCCCCCCCCCC(=O)O
1574,Cc1[nH]c2ccc(O)cc2c1CCN
1609,O=c1oc(Cl)c(Cl)c2ccccc12
1649,O=[N+]([O-])c1cccc2c(Br)[nH]nc12
1681,NCC#Cc1ccccc1
1779,O=C(O)c1cc(=O)c2c(Cl)cc(Cl)cc2[nH]1
1794,NC(N)=NC(=O)c1nc(Cl)c(N2CCCCCC2)nc1N
1797,CCCCCCCCCOc1ccc2[nH]cc(CCN)c2c1
1858,COc1cc2c(CCNC(C)=O)c[nH]c2cc1Cl
1871,O=Nc1ccc2oc(=O)ccc2c1
1893,O=[N+]([O-])c1cccc2cn[nH]c12
1908,Cn1c(=O)c2[nH]c(-c3ccc(S(=O)(=O)O)cc3)nc2n(C)c1=O
1935,Nc1c2c(nc3ccccc13)CCCC2
1960,NCCNS(=O)(=O)c1cccc2c(Cl)cccc12
2039,N=C(N)SCCN
2052,N#CC(C#N)=Cc1ccc(O)c(O)c1
2125,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(I)cc1
2126,CC1(C)CCC(C)(C)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)ccc21
2196,COc1ccc(C(=O)N2CCCC2=O)cc1
2201,O=C(O)c1c2ccccc2cc2ccccc12
2227,NC(N)=NCCCCN=C(N)N
2247,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
2259,O=C(O)C1=CC(=C(c2ccc(O)c(C(=O)O)c2)c2ccc(O)c(C(=O)O)c2)C=CC1=O
2310,CCC1(C)CC(=O)NC(=O)C1
2333,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1
2415,COc1ccc2c(c1)c(CC(=O)N1CCOCC1)c(C)n2C(=O)c1ccc(Cl)cc1
2482,CCCCOC(=O)c1ccc(N)cc1
2497,Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21
2532,CCCCC(C=O)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1
2551,C[N+](C)(C)CCOC(N)=O
2574,NCCC(=O)NCCc1cnc[nH]1
2689,CN1CCN(c2nc3cc(C(F)(F)F)ccc3n3cccc23)CC1
2703,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC
2753,CN(C(=O)CCCOc1ccc2[nH]c(=O)ccc2c1)C1CCCCC1
2756,C/N=C(\NC#N)NCCSCc1nc[nH]c1C
2765,c1ccc(C2CC2)c(OCC2=NCCN2)c1
2782,Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1
2790,N/C(=N/Cc1ccc(Cl)cc1)SCCCc1cnc[nH]1
2797,CC(C)(Oc1ccc(Cl)cc1)C(=O)O
2803,Clc1cccc(Cl)c1NC1=NCCN1
2812,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
2818,CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1
2913,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
2998,CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1
3053,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O
3074,COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC
3101,c1ccc2c(c1)[I+]c1ccccc1-2
3108,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
3117,CCN(CC)C(=S)SSC(=S)N(CC)CC
3136,COC1=C(OC)C(=O)c2ccccc2C1=O
3139,COc1cc(OC)c2cc(-c3ccncc3)cnc2c1
3172,CCN(CCCl)Cc1ccccc1Br
3177,CS(=O)(=O)c1ccc(-c2cc(Br)sc2-c2ccc(F)cc2)cc1
3185,Cc1cccc(CCN2CCC(C(=O)c3ccc(NS(C)(=O)=O)cc3)CC2)n1
3213,Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12
3276,O=C(Cn1ccnc1[N+](=O)[O-])NCCO
3277,CCOC(=O)c1cnc2c(cnn2CC)c1NN=C(C)C
3293,CCOc1ccc2c(c1)C(C)=CC(C)(C)N2
3311,CCS/C(N)=N\c1ccc(C(F)(F)F)cc1
3339,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1
3351,O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1
3373,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
3396,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2
3397,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
3433,Cc1nc2c([nH]1)c(=O)n(C)c(=O)n2Cc1ccco1
3448,O=c1[nH]oc2c1CCNC2
3455,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1
3456,c1ccc(CCCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1
